id,year,age,educ,networth
231,1989,76,3,1178338.3
232,1989,39,2,-10375.1
233,1989,32,1,9222.3
234,1989,29,2,24485.3
235,1989,71,1,0
236,1989,74,4,32979085.4
237,1989,46,4,303184.4
238,1989,46,4,303184.4
239,1989,46,3,177299.5
240,1989,25,4,101607.1
241,1989,37,2,92361.7
242,1989,53,2,167454.6
243,1989,51,4,273903.5
244,1989,42,4,411892.7
245,1989,42,4,411892.7
246,1989,52,3,1105297.4
247,1989,45,3,905403.2
248,1989,32,3,158255.3
249,1989,29,2,361515.7
250,1989,32,2,15424.4
251,1989,41,1,256035.2
252,1989,41,1,256035.2
253,1989,25,4,1488462.5
254,1989,25,4,1488462.5
255,1989,79,2,59945.2
256,1989,82,3,848455.2
257,1989,37,4,150324.1
258,1989,21,2,9222.3
259,1989,53,1,10144.6
260,1989,47,4,1204322.2
261,1989,41,2,878312.5
262,1989,37,3,169691
263,1989,69,4,2384850.8
264,1989,20,2,101099.9
265,1989,20,2,101099.9
266,1989,20,2,101099.9
267,1989,28,4,-3066.4
268,1989,77,4,221336.1
269,1989,38,4,100131.5
270,1989,67,3,829572.5
271,1989,38,4,948978.7
272,1989,35,2,352062.8
273,1989,35,2,352062.8
274,1989,28,3,2420.9
275,1989,40,4,1782217.1
276,1989,37,1,119706
277,1989,39,4,2012890.8
278,1989,54,4,84197652.3
279,1989,33,4,15216.9
280,1989,23,3,47564.2
281,1989,32,3,4611.2
282,1989,40,3,233094.6
283,1989,68,2,158393.7
284,1989,38,2,8715.1
285,1989,43,1,0
286,1989,34,3,3094613.6
287,1989,43,2,-4611.2
288,1989,79,1,83462.2
289,1989,90,4,733176
290,1989,52,1,204413.2
291,1989,35,1,2305.6
292,1989,78,1,487977
293,1989,30,2,0
294,1989,55,2,583243.8
295,1989,51,2,368.9
296,1989,30,4,3688.9
297,1989,32,1,-32278.2
298,1989,41,2,439213.9
299,1989,79,1,103751.3
300,1989,26,3,93376.2
301,1989,26,3,19505.2
302,1989,26,3,19505.2
303,1989,79,1,5533.4
304,1989,79,1,5533.4
305,1989,67,3,-1383.4
306,1989,45,2,269061.7
307,1989,39,2,-8115.7
308,1989,25,3,3458.4
309,1989,40,4,47333.7
310,1989,27,1,-10213.7
311,1989,35,3,-645.6
312,1989,35,3,-645.6
313,1989,28,1,150439.4
314,1989,39,2,230.6
315,1989,39,2,230.6
316,1989,23,2,18792.8
317,1989,36,4,65870.6
318,1989,69,4,2616838.8
319,1989,40,4,40578.3
320,1989,21,3,-1475.6
321,1989,41,4,127199.1
322,1989,72,1,2490
323,1989,26,2,0
324,1989,26,3,0
325,1989,64,1,138796.2
326,1989,38,1,0
327,1989,38,1,0
328,1989,44,4,285293.1
329,1989,37,2,2305.6
330,1989,26,4,769719.5
331,1989,47,3,251654.6
332,1989,47,3,251654.6
333,1989,50,3,300855.8
334,1989,32,4,15101.6
335,1989,32,4,15101.6
336,1989,24,1,0
337,1989,53,2,214419.4
338,1989,53,3,1284293.7
339,1989,27,1,0
340,1989,39,4,25361.4
341,1989,25,1,46.1
342,1989,25,1,46.1
343,1989,43,4,1190373.4
344,1989,30,3,2517721.7
345,1989,24,1,5072.3
346,1989,31,3,691675.4
347,1989,68,1,202891.5
348,1989,32,4,1040279.9
349,1989,37,4,243700.3
350,1989,37,4,243700.3
351,1989,50,3,39194.9
352,1989,60,1,-3896.4
353,1989,31,3,8761.2
354,1989,26,2,735596.8
355,1989,26,2,735596.8
356,1989,37,2,-11527.9
357,1989,26,1,12127.4
358,1989,45,2,517080.4
359,1989,45,1,4565.1
360,1989,60,2,179328.4
361,1989,34,4,238166.9
362,1989,47,1,1152.8
363,1989,31,4,-15839.4
364,1989,45,3,502156.4
365,1989,33,4,462569.5
366,1989,29,3,39402.4
367,1989,77,2,461.1
368,1989,33,2,-1152.8
369,1989,66,3,691675.4
370,1989,29,4,363429.3
371,1989,33,2,23171.1
372,1989,26,2,5925.4
373,1989,54,3,84615
374,1989,36,1,139718.4
375,1989,64,1,23586.1
376,1989,64,1,23586.1
377,1989,59,3,143637.9
378,1989,59,3,143637.9
379,1989,68,1,10398.2
380,1989,29,4,43114.4
381,1989,25,2,106056.9
382,1989,35,2,-6939.8
383,1989,32,4,-52244.6
384,1989,38,1,0
385,1989,34,1,1844.5
386,1989,27,2,5003.1
387,1989,24,1,1337.2
388,1989,32,3,23586.1
389,1989,33,4,201577.3
390,1989,35,3,378784.5
391,1989,52,2,0
392,1989,66,2,29004.3
393,1989,79,2,212113.8
394,1989,66,2,92430.9
395,1989,63,2,546423.6
396,1989,54,3,65824.4
397,1989,42,4,866438.8
398,1989,84,1,94529
399,1989,42,2,2305.6
400,1989,53,4,7954.3
401,1989,49,1,283586.9
402,1989,43,4,219676.1
403,1989,77,1,186660.1
404,1989,35,2,264220
405,1989,83,1,0
406,1989,42,2,8346.2
407,1989,68,1,132986.1
408,1989,60,2,243123.9
409,1989,35,3,85537.2
410,1989,57,1,125610.6
411,1989,56,3,437185
412,1989,71,2,497775.8
413,1989,71,2,497775.8
414,1989,47,2,388906
415,1989,73,1,121366
416,1989,40,2,68683.4
417,1989,65,2,92.2
418,1989,77,1,278168.8
419,1989,55,1,4694631.8
420,1989,79,2,31010.1
421,1989,79,2,31010.1
422,1989,79,2,31010.1
423,1989,64,3,120697.4
424,1989,86,1,1152.8
425,1989,45,2,61443.8
426,1989,58,1,139418.7
427,1989,50,2,736288.5
428,1989,62,1,21695.6
429,1989,42,4,284831.9
430,1989,55,2,258110.2
431,1989,73,1,0
432,1989,69,1,128213.6
433,1989,69,1,128213.6
434,1989,51,3,689669.6
435,1989,41,3,306896.4
436,1989,80,1,156387.8
437,1989,74,1,8991.8
438,1989,48,4,2061654
439,1989,76,1,159661.7
440,1989,68,3,541812.4
441,1989,72,1,78297.7
442,1989,74,2,170336.6
443,1989,53,4,641067.9
444,1989,78,2,136029.5
445,1989,61,2,167154.9
446,1989,57,1,265603.4
447,1989,42,3,-922.2
448,1989,42,3,-922.2
449,1989,70,1,187905.2
450,1989,76,1,215572.2
451,1989,41,3,710811.8
452,1989,57,2,312176.2
453,1989,37,3,272012.9
454,1989,54,3,265810.9
455,1989,61,3,511839.8
456,1989,61,3,511839.8
457,1989,29,4,93722
458,1989,29,4,93722
459,1989,51,2,1146844
460,1989,64,3,385493.8
461,1989,78,3,432850.5
462,1989,57,1,182464
463,1989,53,2,1633737.4
464,1989,85,4,98194.9
465,1989,85,4,98194.9
466,1989,67,2,120121
467,1989,69,2,211606.6
468,1989,57,1,203006.7
469,1989,57,1,203006.7
470,1989,86,1,348604.4
471,1989,46,4,795426.8
472,1989,56,2,201000.9
473,1989,39,4,204966.5
474,1989,31,2,2305.6
475,1989,60,4,87058.9
476,1989,70,3,418509.8
477,1989,46,3,529823.4
478,1989,58,1,254259.9
479,1989,46,2,206811
480,1989,42,1,15286
481,1989,29,2,-2467
482,1989,78,4,563715.5
483,1989,53,1,236045.8
484,1989,69,3,96488.7
485,1992,70,1,45792.6
486,1992,60,4,222198
487,1992,72,1,44547.3
488,1992,39,4,325050.6
489,1992,71,4,998730.8
490,1992,45,4,629257.2
491,1992,70,1,100904.9
492,1992,68,2,204503.4
493,1992,68,2,204503.4
494,1992,36,3,156288.7
495,1992,54,4,2910081.4
496,1992,38,2,31224.6
497,1992,33,3,297700.6
498,1992,30,4,218800
499,1992,23,2,-186.5
500,1992,28,2,7666.3
501,1992,47,3,6029.4
502,1992,18,1,0
503,1992,56,3,5022040.2
504,1992,77,3,617447
505,1992,41,2,52420.8
506,1992,33,1,753119.5
507,1992,76,3,2705578
508,1992,33,3,147526.3
509,1992,50,2,102769.7
510,1992,50,2,102769.7
